"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1WIfWj5skn5UUZTs4cEFBe","Location","spotify:artist:6LuN9FCkKOj5PcnpouEgny","Khalid","spotify:album:5f4VQ4QMbjZLMfxL7RM5aE","Location","spotify:artist:6LuN9FCkKOj5PcnpouEgny","Khalid","2017-10-31","https://i.scdn.co/image/ab67616d0000b27371b495ded6a7fff6eaabdcf9","1","1","217566","https://p.scdn.co/mp3-preview/ac38db91e3af64810f320c9103bc1f7dfdb0297a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:","2021-06-17T14:36:26Z"
"spotify:track:3a1lNhkSLSkpJE4MSHpDu9","Congratulations","spotify:artist:246dkjvS1zLTtiykXe5h60, spotify:artist:0VRj0yCOv2FXJNP47XQnx5","Post Malone, Quavo","spotify:album:5s0rmjP8XOPhP6HhqOhuyC","Stoney (Deluxe)","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2016-12-09","https://i.scdn.co/image/ab67616d0000b27355404f712deb84d0650a4b41","1","12","220293","","true","83","spotify:user:","2021-06-17T14:36:26Z"
"spotify:track:5uCax9HTNlzGybIStD3vDh","Say You Won't Let Go","spotify:artist:4IWBUUAFIplrNtaOHcJPRM","James Arthur","spotify:album:7oiJYvEJHsmYtrgviAVIBD","Back from the Edge","spotify:artist:4IWBUUAFIplrNtaOHcJPRM","James Arthur","2016-10-28","https://i.scdn.co/image/ab67616d0000b27320beb61f61fcbeb33b10a9ab","1","2","211466","https://p.scdn.co/mp3-preview/00825cb1779b31d68964eda6f2a7911fc2ae96c6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","spotify:user:","2021-06-17T14:36:26Z"
"spotify:track:2ekn2ttSfGqwhhate0LSR0","New Rules","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","spotify:album:01sfgrNbnnPUEyz6GZYlt9","Dua Lipa (Deluxe)","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","2017-06-02","https://i.scdn.co/image/ab67616d0000b2736b915e407b70e121e06fe979","1","10","209320","https://p.scdn.co/mp3-preview/75a1b521de23958a2db9acf4fc8151999ee54bd7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","spotify:user:","2021-06-17T14:36:26Z"
"spotify:track:0KKkJNfGyhkQ5aFogxQAPU","That's What I Like","spotify:artist:0du5cEVh5yTK9QJze8zA0C","Bruno Mars","spotify:album:4PgleR09JVnm3zY1fW3XBA","24K Magic","spotify:artist:0du5cEVh5yTK9QJze8zA0C","Bruno Mars","2016-11-17","https://i.scdn.co/image/ab67616d0000b273232711f7d66a1e19e89e28c5","1","4","206693","https://p.scdn.co/mp3-preview/f09116ce18bd77f543e68a925e5a96509e79ac6a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","spotify:user:","2021-06-17T14:36:26Z"
"spotify:track:7fBv7CLKzipRk6EC6TWHOB","The Hills","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","spotify:album:0P3oVJBFOv3TDXlYRhGL7s","Beauty Behind The Madness","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","2015-08-28","https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b","1","5","242253","","true","85","spotify:user:","2021-06-17T14:36:26Z"
"spotify:track:3QGsuHI8jO1Rx4JWLUh9jd","Treat You Better","spotify:artist:7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","spotify:album:1ne2D0NxoGyZd31gAM4HNd","Illuminate","spotify:artist:7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","2017-04-20","https://i.scdn.co/image/ab67616d0000b2731376b4b16f4bfcba02dc571b","1","4","187973","","false","82","spotify:user:","2021-06-17T14:36:26Z"
"spotify:track:12GEpg2XOPyqk03JZEZnJs","It Ain’t Me (with Selena Gomez)","spotify:artist:23fqKkggKUBHNkbKtXEls4, spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx","Kygo, Selena Gomez","spotify:album:4VNy5ifZtW3E9SgffbGEti","It Ain't Me","spotify:artist:23fqKkggKUBHNkbKtXEls4, spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx","Kygo, Selena Gomez","2017-02-17","https://i.scdn.co/image/ab67616d0000b273f9dcc529e62f2a4675f88738","1","1","220780","","false","66","spotify:user:","2021-06-17T14:36:26Z"
"spotify:track:75ZvA4QfFiZvzhj2xkaWAh","I Fall Apart","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","spotify:album:5s0rmjP8XOPhP6HhqOhuyC","Stoney (Deluxe)","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2016-12-09","https://i.scdn.co/image/ab67616d0000b27355404f712deb84d0650a4b41","1","7","223346","","true","81","spotify:user:","2021-06-17T14:36:26Z"
"spotify:track:6RUKPb4LETWmmr3iAEQktW","Something Just Like This","spotify:artist:69GGBxA162lTqCwzJG5jLp, spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","The Chainsmokers, Coldplay","spotify:album:4JPguzRps3kuWDD5GS6oXr","Memories...Do Not Open","spotify:artist:69GGBxA162lTqCwzJG5jLp","The Chainsmokers","2017-04-07","https://i.scdn.co/image/ab67616d0000b2730c13d3d5a503c84fcc60ae94","1","5","247160","https://p.scdn.co/mp3-preview/cb1ae1f9e2f874dd2d19e4c29edb552777eb1e7a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","spotify:user:","2021-06-17T14:36:26Z"
